gene_id	gene_symbol	gene_full_name
56132	PCDHB3	protocadherin beta 3
6693	SPN	sialophorin
92521	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1
1029	CDKN2A	cyclin-dependent kinase inhibitor 2A
3672	ITGA1	"integrin, alpha 1"
11234	HPS5	Hermansky-Pudlak syndrome 5
3605	IL17A	interleukin 17A
6401	SELE	selectin E
6616	SNAP25	"synaptosomal-associated protein, 25kDa"
8842	PROM1	prominin 1
916	CD3E	"CD3e molecule, epsilon (CD3-TCR complex)"
361	AQP4	aquaporin 4
9223	MAGI1	"membrane associated guanylate kinase, WW and PDZ domain containing 1"
8322	FZD4	frizzled class receptor 4
56143	PCDHA5	protocadherin alpha 5
154796	AMOT	angiomotin
5921	RASA1	RAS p21 protein activator (GTPase activating protein) 1
50863	NTM	neurotrimin
355	FAS	Fas cell surface death receptor
10228	STX6	syntaxin 6
4254	KITLG	KIT ligand
56130	PCDHB6	protocadherin beta 6
1627	DBN1	drebrin 1
7098	TLR3	toll-like receptor 3
1825	DSC3	desmocollin 3
2205	FCER1A	"Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide"
5322	PLA2G5	"phospholipase A2, group V"
3575	IL7R	interleukin 7 receptor
2263	FGFR2	fibroblast growth factor receptor 2
5327	PLAT	"plasminogen activator, tissue"
3687	ITGAX	"integrin, alpha X (complement component 3 receptor 4 subunit)"
288	ANK3	"ankyrin 3, node of Ranvier (ankyrin G)"
100507436	MICA	MHC class I polypeptide-related sequence A
5898	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)
650	BMP2	bone morphogenetic protein 2
2697	GJA1	"gap junction protein, alpha 1, 43kDa"
5155	PDGFB	platelet-derived growth factor beta polypeptide
2492	FSHR	follicle stimulating hormone receptor
349149	GJC3	"gap junction protein, gamma 3, 30.2kDa"
1378	CR1	complement component (3b/4b) receptor 1 (Knops blood group)
2243	FGA	fibrinogen alpha chain
89858	SIGLEC12	sialic acid binding Ig-like lectin 12 (gene/pseudogene)
55109	AGGF1	angiogenic factor with G patch and FHA domains 1
1041	CDSN	corneodesmosin
55435	AP1AR	adaptor-related protein complex 1 associated regulatory protein
7148	TNXB	tenascin XB
6857	SYT1	synaptotagmin I
2693	GHSR	growth hormone secretagogue receptor
775	CACNA1C	"calcium channel, voltage-dependent, L type, alpha 1C subunit"
952	CD38	CD38 molecule
10666	CD226	CD226 molecule
1211	CLTA	"clathrin, light chain A"
8912	CACNA1H	"calcium channel, voltage-dependent, T type, alpha 1H subunit"
857	CAV1	"caveolin 1, caveolae protein, 22kDa"
2904	GRIN2B	"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"
29923	HILPDA	hypoxia inducible lipid droplet-associated
29780	PARVB	"parvin, beta"
6860	SYT4	synaptotagmin IV
9235	IL32	interleukin 32
5045	FURIN	furin (paired basic amino acid cleaving enzyme)
941	CD80	CD80 molecule
972	CD74	"CD74 molecule, major histocompatibility complex, class II invariant chain"
6810	STX4	syntaxin 4
8792	TNFRSF11A	"tumor necrosis factor receptor superfamily, member 11a, NFKB activator"
2823	GPM6A	glycoprotein M6A
966	CD59	"CD59 molecule, complement regulatory protein"
3561	IL2RG	"interleukin 2 receptor, gamma"
1823	DSC1	desmocollin 1
9358	ITGBL1	"integrin, beta-like 1 (with EGF-like repeat domains)"
7043	TGFB3	"transforming growth factor, beta 3"
8905	AP1S2	"adaptor-related protein complex 1, sigma 2 subunit"
51744	CD244	"CD244 molecule, natural killer cell receptor 2B4"
4856	NOV	nephroblastoma overexpressed
50856	CLEC4A	"C-type lectin domain family 4, member A"
54538	ROBO4	"roundabout, axon guidance receptor, homolog 4 (Drosophila)"
10495	ENOX2	ecto-NOX disulfide-thiol exchanger 2
4162	MCAM	melanoma cell adhesion molecule
286133	SCARA5	"scavenger receptor class A, member 5 (putative)"
973	CD79A	"CD79a molecule, immunoglobulin-associated alpha"
6402	SELL	selectin L
5788	PTPRC	"protein tyrosine phosphatase, receptor type, C"
779	CACNA1S	"calcium channel, voltage-dependent, L type, alpha 1S subunit"
255928	SYT14	synaptotagmin XIV
23213	SULF1	sulfatase 1
3383	ICAM1	intercellular adhesion molecule 1
10174	SORBS3	sorbin and SH3 domain containing 3
1756	DMD	dystrophin
4739	NEDD9	"neural precursor cell expressed, developmentally down-regulated 9"
283420	CLEC9A	"C-type lectin domain family 9, member A"
778	CACNA1F	"calcium channel, voltage-dependent, L type, alpha 1F subunit"
9179	AP4M1	"adaptor-related protein complex 4, mu 1 subunit"
659	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
3491	CYR61	"cysteine-rich, angiogenic inducer, 61"
25932	CLIC4	chloride intracellular channel 4
214	ALCAM	activated leukocyte cell adhesion molecule
56681	SAR1A	"secretion associated, Ras related GTPase 1A"
341359	SYT10	synaptotagmin X
54549	SDK2	sidekick cell adhesion molecule 2
81501	DCSTAMP	dendrocyte expressed seven transmembrane protein
161	AP2A2	"adaptor-related protein complex 2, alpha 2 subunit"
8943	AP3D1	"adaptor-related protein complex 3, delta 1 subunit"
3916	LAMP1	lysosomal-associated membrane protein 1
3682	ITGAE	"integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)"
8470	SORBS2	sorbin and SH3 domain containing 2
22872	SEC31A	SEC31 homolog A (S. cerevisiae)
54825	CDHR2	cadherin-related family member 2
64236	PDLIM2	PDZ and LIM domain 2 (mystique)
858	CAV2	caveolin 2
7042	TGFB2	"transforming growth factor, beta 2"
29126	CD274	CD274 molecule
57493	HEG1	heart development protein with EGF-like domains 1
1141	CHRNB2	"cholinergic receptor, nicotinic, beta 2 (neuronal)"
2244	FGB	fibrinogen beta chain
4915	NTRK2	"neurotrophic tyrosine kinase, receptor, type 2"
10859	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
4685	NCAM2	neural cell adhesion molecule 2
3910	LAMA4	"laminin, alpha 4"
9173	IL1RL1	interleukin 1 receptor-like 1
3315	HSPB1	heat shock 27kDa protein 1
7099	TLR4	toll-like receptor 4
955	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)
3956	LGALS1	"lectin, galactoside-binding, soluble, 1"
5167	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
940	CD28	CD28 molecule
3569	IL6	interleukin 6
55333	SYNJ2BP	synaptojanin 2 binding protein
6809	STX3	syntaxin 3
8417	STX7	syntaxin 7
7010	TEK	"TEK tyrosine kinase, endothelial"
8995	TNFSF18	"tumor necrosis factor (ligand) superfamily, member 18"
6338	SCNN1B	"sodium channel, non-voltage-gated 1, beta subunit"
2159	F10	coagulation factor X
340205	TREML1	triggering receptor expressed on myeloid cells-like 1
265	AMELX	"amelogenin, X-linked"
4815	NINJ2	ninjurin 2
57502	NLGN4X	"neuroligin 4, X-linked"
114908	TMEM123	transmembrane protein 123
81623	DEFB126	"defensin, beta 126"
150372	NFAM1	NFAT activating protein with ITAM motif 1
80274	SCUBE1	"signal peptide, CUB domain, EGF-like 1"
29121	CLEC2D	"C-type lectin domain family 2, member D"
337	APOA4	apolipoprotein A-IV
1803	DPP4	dipeptidyl-peptidase 4
945	CD33	CD33 molecule
5796	PTPRK	"protein tyrosine phosphatase, receptor type, K"
151888	BTLA	B and T lymphocyte associated
308	ANXA5	annexin A5
5154	PDGFA	platelet-derived growth factor alpha polypeptide
960	CD44	CD44 molecule (Indian blood group)
83851	SYT16	synaptotagmin XVI
931	MS4A1	"membrane-spanning 4-domains, subfamily A, member 1"
3482	IGF2R	insulin-like growth factor 2 receptor
6376	CX3CL1	chemokine (C-X3-C motif) ligand 1
10268	RAMP3	receptor (G protein-coupled) activity modifying protein 3
969	CD69	CD69 molecule
4897	NRCAM	neuronal cell adhesion molecule
1524	CX3CR1	chemokine (C-X3-C motif) receptor 1
7132	TNFRSF1A	"tumor necrosis factor receptor superfamily, member 1A"
64581	CLEC7A	"C-type lectin domain family 7, member A"
5795	PTPRJ	"protein tyrosine phosphatase, receptor type, J"
3596	IL13	interleukin 13
4023	LPL	lipoprotein lipase
1508	CTSB	cathepsin B
942	CD86	CD86 molecule
974	CD79B	"CD79b molecule, immunoglobulin-associated beta"
57611	ISLR2	immunoglobulin superfamily containing leucine-rich repeat 2
252983	STXBP4	syntaxin binding protein 4
23601	CLEC5A	"C-type lectin domain family 5, member A"
3458	IFNG	"interferon, gamma"
3762	KCNJ5	"potassium inwardly-rectifying channel, subfamily J, member 5"
64127	NOD2	nucleotide-binding oligomerization domain containing 2
9743	ARHGAP32	Rho GTPase activating protein 32
55014	STX17	syntaxin 17
340419	RSPO2	R-spondin 2
79658	ARHGAP10	Rho GTPase activating protein 10
4179	CD46	"CD46 molecule, complement regulatory protein"
3161	HMMR	hyaluronan-mediated motility receptor (RHAMM)
9628	RGS6	regulator of G-protein signaling 6
27283	TINAG	tubulointerstitial nephritis antigen
1501	CTNND2	"catenin (cadherin-associated protein), delta 2"
59272	ACE2	angiotensin I converting enzyme 2
7201	TRHR	thyrotropin-releasing hormone receptor
506	ATP5B	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"
93974	ATPIF1	ATPase inhibitory factor 1
575	BAI1	brain-specific angiogenesis inhibitor 1
100133941	CD24	CD24 molecule
26958	COPG2	"coatomer protein complex, subunit gamma 2"
51226	COPZ2	"coatomer protein complex, subunit zeta 2"
2015	EMR1	"egf-like module containing, mucin-like, hormone receptor-like 1"
390243	FOLR4	"folate receptor 4, delta (putative)"
166647	GPR125	G protein-coupled receptor 125
9289	GPR56	G protein-coupled receptor 56
84059	GPR98	G protein-coupled receptor 98
148738	HFE2	hemochromatosis type 2 (juvenile)
23308	ICOSLG	inducible T-cell co-stimulator ligand
3730	KAL1	Kallmann syndrome 1 sequence
57608	KIAA1462	KIAA1462
9890	LPPR4	-
4684	NCAM1	neural cell adhesion molecule 1
22829	NLGN4Y	"neuroligin 4, Y-linked"
4898	NRD1	nardilysin (N-arginine dibasic convertase)
5046	PCSK6	proprotein convertase subtilisin/kexin type 6
342372	PKD1L3	polycystic kidney disease 1-like 3
349633	PLET1	placenta expressed transcript 1
8497	PPFIA4	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), al"
5819	PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)
10024	TROAP	trophinin associated protein
7223	TRPC4	"transient receptor potential cation channel, subfamily C, member 4"
79054	TRPM8	"transient receptor potential cation channel, subfamily M, member 8"
7301	TYRO3	TYRO3 protein tyrosine kinase
80328	ULBP2	UL16 binding protein 2
137970	UNC5D	unc-5 homolog D (C. elegans)
9097	USP14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)
6843	VAMP1	vesicle-associated membrane protein 1 (synaptobrevin 1)
6844	VAMP2	vesicle-associated membrane protein 2 (synaptobrevin 2)
9341	VAMP3	vesicle-associated membrane protein 3
8674	VAMP4	vesicle-associated membrane protein 4
6845	VAMP7	vesicle-associated membrane protein 7
8673	VAMP8	vesicle-associated membrane protein 8
9217	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C
7412	VCAM1	vascular cell adhesion molecule 1
7422	VEGFA	vascular endothelial growth factor A
7436	VLDLR	very low density lipoprotein receptor
157680	VPS13B	vacuolar protein sorting 13 homolog B (yeast)
26276	VPS33B	vacuolar protein sorting 33 homolog B (yeast)
7450	VWF	von Willebrand factor
8840	WISP1	WNT1 inducible signaling pathway protein 1
8839	WISP2	WNT1 inducible signaling pathway protein 2
8838	WISP3	WNT1 inducible signaling pathway protein 3
7471	WNT1	"wingless-type MMTV integration site family, member 1"
89780	WNT3A	"wingless-type MMTV integration site family, member 3A"
54361	WNT4	"wingless-type MMTV integration site family, member 4"
7474	WNT5A	"wingless-type MMTV integration site family, member 5A"
81029	WNT5B	"wingless-type MMTV integration site family, member 5B"
7475	WNT6	"wingless-type MMTV integration site family, member 6"
7476	WNT7A	"wingless-type MMTV integration site family, member 7A"
7791	ZYX	zyxin
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
